datetime,SSS_anomaly
2014-02-01,0.3696422727272761
2014-03-01,0.2595649000000009
2014-04-01,0.3781150000000011
2014-05-01,0.003874099999997327
2014-06-01,-0.02997949999999605
2014-07-01,0.023949000000001774
2014-08-01,-0.08358499999999935
2014-09-01,-0.5229645000000005
2014-10-01,-0.047997100000003456
2014-11-01,-0.02498250000000013
2014-12-01,0.24629949999999923
2015-01-01,-0.10793840000000188
2015-02-01,-0.09134172727272727
2015-03-01,0.08407189999999787
2015-04-01,-0.059373000000000786
2015-05-01,-0.021474900000001185
2015-06-01,-0.01972149999999573
2015-07-01,-0.0798419999999993
2015-08-01,0.15536300000000125
2015-09-01,0.36448149999999657
2015-10-01,0.07534089999999338
2015-11-01,-0.049251500000004
2015-12-01,0.17871650000000017
2016-01-01,0.019747599999995202
2016-02-01,-0.3385547272727223
2016-03-01,-0.22576910000000083
2016-04-01,0.3366060000000033
2016-05-01,-0.24651390000000362
2016-06-01,-0.17122949999999548
2016-07-01,-0.31212599999999924
2016-08-01,-0.44610999999999734
2016-09-01,-0.4796455000000037
2016-10-01,-0.18414010000000758
2016-11-01,0.20423249999999626
2016-12-01,0.09174649999999929
2017-01-01,-0.05936240000000481
2017-02-01,0.0558772727272725
2017-03-01,0.2488838999999956
2017-04-01,0.14521799999999985
2017-05-01,0.09495809999999949
2017-06-01,0.18014650000000643
2017-07-01,-0.004362000000000421
2017-08-01,0.05449800000000238
2017-09-01,-0.0062035000000051355
2017-10-01,0.23557789999999557
2017-11-01,0.1292164999999983
2017-12-01,-0.30406349999999804
2018-01-01,0.17206960000000038
2018-02-01,0.29642127272727237
2018-03-01,0.05398689999999817
2018-04-01,0.3393390000000025
2018-05-01,0.11855409999999722
2018-06-01,0.4150255000000058
2018-07-01,0.502124000000002
2018-08-01,0.16709399999999874
2018-09-01,0.35912049999999596
2018-10-01,0.21165789999999163
2018-11-01,0.31020449999999755
2018-12-01,0.15098150000000032
2019-01-01,-0.16766739999999913
2019-02-01,-0.05970772727272333
2019-03-01,-0.32409510000000097
2019-04-01,0.1161650000000023
2019-05-01,0.3622291000000004
2019-06-01,-0.055445499999997594
2019-07-01,0.3935719999999989
2019-08-01,0.3137830000000008
2019-09-01,0.10267650000000117
2019-10-01,-0.016995100000002594
2019-11-01,-0.2826374999999999
2019-12-01,-0.29353749999999934
2020-01-01,-0.25184140000000355
2020-02-01,-0.307077727272727
2020-03-01,-0.263766099999998
2020-04-01,-0.20668299999999817
2020-05-01,-0.20325989999999905
2020-06-01,-0.3168244999999956
2020-07-01,-0.3441359999999989
2020-08-01,-0.1973210000000023
2020-09-01,0.17094149999999786
2020-10-01,0.08889589999999714
2020-11-01,-0.31396250000000236
2020-12-01,-0.08930949999999882
2021-01-01,0.01965359999999805
2021-02-01,-0.2055157272727257
2021-03-01,0.3042759000000004
2021-04-01,-0.28915500000000094
2021-05-01,-0.03761790000000076
2021-06-01,0.06768350000000112
2021-07-01,-0.18644700000000114
2021-08-01,0.11934000000000111
2021-09-01,-0.013325500000000545
2021-10-01,-0.22531610000000768
2021-11-01,-0.21327050000000014
2021-12-01,2.950000000367936e-05
2022-01-01,0.08272159999999928
2022-02-01,0.020807272727275006
2022-03-01,-0.13981210000000033
2022-04-01,-0.4820659999999961
2022-05-01,-0.15854790000000207
2022-06-01,0.08016950000000378
2022-07-01,0.010889999999996292
2022-08-01,-0.2399690000000021
2022-09-01,-0.18191949999999935
2022-10-01,-0.21896710000000752
2022-11-01,-0.015899500000003286
2022-12-01,-0.36447849999999704
2023-01-01,0.21076159999999788
2023-02-01,0.04959027272727212
2023-03-01,0.0026589000000001306
2023-04-01,-0.2781659999999988
2023-05-01,0.08779909999999802
2023-06-01,-0.14982449999999403
2023-07-01,-0.003622000000000014
2023-08-01,0.1569069999999968
2023-09-01,0.20683849999999637
2023-10-01,0.08194289999999427
2023-11-01,0.2563504999999964
2023-12-01,0.38361549999999767
2024-01-01,0.08185559999999725
2024-02-01,0.20985927272727167
